,title,published_date,views,likes,comments,Month
64,ANACONDA Tutorial for Python | How to Install Anaconda on Mac OS and How to use Anaconda for Python,2021-09-21,93329,1558,84,Sep
65,Connect to PostgreSQL from Python (Using SQL in Python) | Python to PostgreSQL,2021-09-13,116735,2830,150,Sep
66,SQL WITH Clause | How to write SQL Queries using WITH Clause | SQL CTE (Common Table Expression),2021-09-05,433855,10596,599,Sep
67,STEP by STEP guide to Learn Python | How to learn PYTHON,2021-08-29,10481,513,46,Aug
68,Learn how to write SQL Queries(Practice Complex SQL Queries),2021-08-22,1340185,30392,1062,Aug
69,"SQL Window Function | How to write SQL Query using Frame Clause, CUME_DIST | SQL Queries Tutorial",2021-08-13,270101,9479,616,Aug
70,Learn how to use GitHub for Beginners | GitHub Tutorial,2021-08-06,66141,1762,65,Aug
71,Git Tutorial for Complete Beginners | Learn Git in 35 minutes,2021-07-16,45209,1582,138,Jul
72,Web Scraping in Python using Beautiful Soup | Writing a Python program to Scrape IMDB website,2021-07-05,142221,4646,366,Jul
73,Thank you for 1000 subscribers | Channel update | Who am i? & What i do?,2021-06-23,6106,151,63,Jun
74,Practice SQL and Python | How to Practice Programming | Using LeetCode,2021-06-08,40249,1155,51,Jun
75,Logging Tutorial in Python | DON’T use Print for logging | How to Log messages in Python,2021-06-04,37677,891,63,Jun
76,"SQL Window Function | How to write SQL Query using RANK, DENSE RANK, LEAD/LAG | SQL Queries Tutorial",2021-05-21,779035,24263,1257,May
77,How to Read and Write Files in Python | File Handling Tutorial in Python,2021-05-05,12205,426,38,May
78,Regular Expressions in Python | Regular Expressions Python Tutorial,2021-04-22,13715,407,69,Apr
79,What is Data Science (for beginners) | Data Science for Beginners | Data Science Life Cycle,2021-04-08,5167,166,10,Apr
80,Best Resume Format | Tips for writing an AWESOME Resume | ATS Resume Format,2021-03-25,133104,3952,198,Mar
81,Dictionary in Python (for beginners) | Python Dictionaries | Python Tutorial #10,2021-03-18,3380,91,7,Mar
82,Lists in Python EXPLAINED | Python Lists | Python Tutorial for Beginners #9,2021-03-11,3307,95,9,Mar
83,Exception Handling in Python | TRY EXCEPT in Python | Python Tutorial for Beginners #8,2021-03-04,16857,429,19,Mar
84,Local and Global Scope in Python | Local and Global Variables | Python Tutorial for Beginners #7,2021-03-01,5137,159,9,Mar
85,What is a FUNCTION in Python | Python Functions | Python Tutorial for Beginners #6,2021-02-22,3396,99,7,Feb
86,Import modules in Python | Import module from different directory | Python Tutorial for beginners #5,2021-02-14,56730,798,80,Feb
87,WHILE loop and FOR loop in Python | LOOP statements in Python | Python Tutorial for Beginners #4,2021-02-07,5238,149,27,Feb
88,IF ELSE ELIF statement in Python | IF ELSE Statement in Python | Python Tutorial for Beginners #3,2021-01-31,3918,111,12,Jan
89,What is a VARIABLE in Python | Python Variables | Python Tutorial for Beginners #2,2021-01-25,3946,124,16,Jan
90,"What is DATA TYPE, OPERATORS and EXPRESSION in Python | Python Tutorial for Beginners #1",2021-01-18,6806,179,20,Jan
91,How to Install Python on Mac OS and How to Run Python code,2021-01-11,534771,6889,362,Jan
92,Excel Alternative: How to use SQL to perform EXCEL tasks (SQL for Data Analysis),2021-01-03,32887,738,51,Jan
93,iPhone 12 Pro Unboxing | 5 Reasons to BUY iPhone 12 Pro,2020-12-15,1222,38,24,Dec
94,SQL Basics Tutorial for Beginners (Practice SQL Queries),2020-12-11,959759,20779,632,Dec
95,How to install PostgreSQL on Mac OS | Install and Uninstall PostgreSQL Database,2020-11-16,90144,838,105,Nov
96,Learn What is Database | Types of Database | DBMS,2020-08-30,277633,4710,138,Aug
97,Do you need a Smartwatch,2020-07-12,11497,185,43,Jul
98,MacBook Pro 13 2020  One Week Later Review,2020-06-29,1448,73,20,Jun
99,MacBook Pro 13 2020 Unboxing,2020-06-22,2736,95,29,Jun
